point,era,event_class,first_fired_at,last_active_at,max_severity,max_confidence,fired_conditions
mapai,modern,flash_flood,2020-12-17 11:00:00,2020-12-17 16:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
pafuri,modern,flash_flood,2020-12-17 11:00:00,2020-12-17 16:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
thohoyandou,modern,flash_flood,2020-12-17 12:00:00,2020-12-17 18:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
chokwe,modern,flash_flood,2020-12-18 04:00:00,2020-12-18 20:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,modern,flash_flood,2020-12-18 04:00:00,2020-12-18 22:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
chokwe,modern,flood,2020-12-18 05:00:00,2020-12-19 07:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
xai_xai,modern,flash_flood,2020-12-24 02:00:00,2020-12-24 16:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
chokwe,modern,flash_flood,2020-12-24 03:00:00,2020-12-24 12:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,modern,flash_flood,2021-01-02 06:00:00,2021-01-02 17:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
chokwe,modern,flash_flood,2021-01-02 10:00:00,2021-01-02 19:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,modern,flood,2021-01-02 10:00:00,2021-01-03 03:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
chokwe,modern,flood,2021-01-02 12:00:00,2021-01-03 03:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
thohoyandou,modern,flash_flood,2021-01-07 01:00:00,2021-01-07 08:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
musina,modern,flash_flood,2021-01-07 02:00:00,2021-01-07 09:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
chokwe,modern,flash_flood,2021-01-17 06:00:00,2021-01-17 22:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,modern,flash_flood,2021-01-17 08:00:00,2021-01-17 20:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
mapai,modern,tornado,2021-01-23 16:00:00,2021-01-24 03:00:00,severe,1.0,moist|mslp_fall|shear_high|theta_e_high|theta_e_surge
pafuri,modern,tornado,2021-01-23 17:00:00,2021-01-24 08:00:00,severe,1.0,moist|mslp_fall|shear_high|theta_e_high|theta_e_surge
mapai,modern,flash_flood,2021-01-23 18:00:00,2021-01-24 03:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
pafuri,modern,flash_flood,2021-01-23 19:00:00,2021-01-24 08:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
thohoyandou,modern,tornado,2021-01-23 19:00:00,2021-01-24 11:00:00,severe,1.0,moist|mslp_fall|shear_high|theta_e_high|theta_e_surge
musina,modern,tornado,2021-01-23 20:00:00,2021-01-24 05:00:00,severe,1.0,moist|mslp_fall|shear_high|theta_e_high|theta_e_surge
thohoyandou,modern,flash_flood,2021-01-24 00:00:00,2021-01-24 13:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
musina,modern,flash_flood,2021-01-24 02:00:00,2021-01-24 10:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
thohoyandou,modern,flood,2021-01-24 03:00:00,2021-01-25 01:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
chokwe,modern,flash_flood,2021-01-25 05:00:00,2021-01-25 05:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
chokwe,modern,flash_flood,2021-02-02 16:00:00,2021-02-02 16:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,modern,flash_flood,2021-02-02 16:00:00,2021-02-02 16:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
mapai,modern,flash_flood,2021-02-14 06:00:00,2021-02-15 20:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
pafuri,modern,flash_flood,2021-02-14 06:00:00,2021-02-14 20:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
thohoyandou,modern,flash_flood,2021-02-14 07:00:00,2021-02-14 19:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
chokwe,modern,flash_flood,2021-02-14 23:00:00,2021-02-15 16:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,modern,flash_flood,2021-02-16 02:00:00,2021-02-16 07:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
thohoyandou,modern,flash_flood,2021-03-22 03:00:00,2021-03-22 09:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
pafuri,modern,flash_flood,2021-03-22 04:00:00,2021-03-22 19:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
musina,modern,flash_flood,2021-03-22 05:00:00,2021-03-22 14:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
mapai,modern,flash_flood,2021-03-22 06:00:00,2021-03-22 19:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
pafuri,modern,flood,2021-03-22 11:00:00,2021-03-23 07:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
xai_xai,modern,flash_flood,2021-06-02 06:00:00,2021-06-02 09:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
